study_time,attendance,score,gender_Male
10,53,69,True
10,92,80,True
6,95,62,True
2,50,21,False
6,69,57,False
5,93,66,True
2,59,32,False
7,81,68,True
7,77,66,False
6,76,57,False
10,66,80,True
9,52,74,False
6,58,61,True
5,83,60,True
1,98,35,False
3,80,36,True
9,51,66,True
10,81,83,True
10,90,95,False
10,93,84,True
7,78,56,False
5,52,51,True
3,74,33,False
8,72,79,True
5,56,54,True
3,51,41,True
8,53,66,False
3,79,39,False
7,62,52,True
9,98,89,False
3,51,35,True
7,50,63,True
2,57,29,False
4,92,45,False
7,83,57,True
2,62,24,True
5,66,40,True
4,72,47,True
2,54,37,False
2,90,48,False
3,98,47,True
7,97,80,True
1,96,42,False
3,82,43,False
3,58,32,False
4,93,51,True
1,86,22,True
2,71,28,True
10,82,77,True
6,61,56,False
7,64,59,True
8,89,64,False
6,98,62,False
3,54,31,False
5,82,47,True
2,89,30,True
1,61,19,False
2,75,31,True
4,82,41,True
9,82,69,True
6,56,46,False
8,99,82,False
7,52,49,False
4,93,53,True
2,80,37,True
10,69,76,True
6,93,69,True
5,66,49,True
2,82,36,False
7,58,58,False
9,55,77,False
2,64,23,False
9,71,69,True
9,66,65,True
5,85,59,True
8,89,79,False
4,72,51,True
10,81,79,False
10,69,82,True
6,64,54,True
10,54,75,False
4,56,30,True
1,80,30,False
10,79,81,False
1,66,32,False
7,92,71,False
3,67,46,False
6,79,56,True
1,57,31,False
7,81,63,False
6,60,54,True
7,87,65,True
8,54,67,False
9,99,92,False
5,60,50,True
1,100,43,True
6,97,61,True
6,70,63,False
2,54,23,True
10,96,79,False
2,51,26,True
2,82,40,False
10,82,92,True
10,87,78,True
8,69,74,False
2,76,32,False
9,93,85,False
7,89,69,True
3,55,38,True
3,87,40,False
8,56,72,True
1,55,13,True
5,71,43,True
5,67,48,False
4,83,41,True
3,78,47,True
1,77,20,True
8,99,71,False
1,67,29,True
1,66,27,False
9,91,79,True
8,84,79,False
3,93,41,True
9,57,74,True
7,96,70,False
10,50,70,False
1,75,33,False
10,67,83,True
6,65,46,False
6,89,70,False
2,92,31,True
6,85,69,True
2,91,48,False
6,62,58,False
5,95,63,True
3,61,33,False
1,73,33,True
9,90,73,True
1,95,27,True
7,70,67,False
5,58,49,False
5,56,40,False
7,87,73,False
5,54,53,True
4,92,49,True
3,69,44,True
5,66,58,False
9,82,68,True
7,93,64,True
10,96,89,True
5,99,57,False
3,57,26,False
9,87,85,False
6,56,51,True
9,57,63,False
8,55,66,True
9,52,59,False
7,71,72,True
9,87,72,False
1,83,28,True
6,93,63,True
9,67,73,True
4,88,48,True
5,60,45,False
9,99,78,False
3,83,51,True
4,91,55,True
6,59,56,True
2,73,25,False
5,50,39,False
4,68,42,True
6,50,50,True
1,82,25,True
5,52,41,True
5,86,55,False
10,70,84,True
8,58,74,False
1,100,45,True
2,95,40,True
8,90,67,True
1,77,38,True
7,66,56,False
7,56,53,False
5,66,54,False
10,55,78,False
2,83,31,False
1,64,30,False
1,89,26,False
1,51,19,False
4,90,53,True
6,75,51,True
5,60,38,True
9,62,78,False
9,91,86,False
4,57,36,False
8,86,67,False
9,63,71,False
7,51,51,True
7,72,67,False
1,99,41,False
6,62,61,True
1,72,28,False
6,100,64,True
6,65,48,True
10,90,83,True
1,66,17,False
7,97,62,False
6,51,50,False
10,51,65,True
8,60,62,False
1,94,27,False
8,69,71,False
5,83,45,True
9,64,68,True
8,81,79,True
7,91,72,False
2,96,36,True
6,98,56,True
5,89,64,False
10,96,86,False
1,89,23,False
4,75,42,True
1,63,33,True
8,60,75,False
2,82,31,False
6,74,61,True
3,95,41,True
3,64,33,False
8,54,54,True
10,70,76,True
6,50,49,False
5,76,48,False
10,93,88,False
8,77,75,False
1,79,22,False
3,79,33,False
5,80,52,False
4,91,59,False
9,76,78,True
9,63,73,True
8,90,69,False
8,67,61,False
8,97,80,False
1,83,37,True
7,68,52,False
9,96,80,True
6,77,56,False
3,63,30,False
4,55,39,False
1,53,30,True
5,87,61,True
4,61,48,False
6,94,59,False
3,98,38,True
6,97,62,True
1,97,43,True
10,60,77,True
7,94,78,False
2,56,25,False
5,62,47,True
7,82,76,True
7,55,51,False
6,76,52,True
2,93,35,False
2,65,37,False
10,98,98,True
8,95,69,False
7,69,69,True
7,76,58,False
9,74,67,True
8,67,66,False
1,75,32,False
3,94,40,True
1,72,31,True
10,89,83,True
4,60,49,True
1,59,27,False
4,97,52,False
4,80,52,False
4,86,54,False
8,68,58,False
5,92,58,False
8,60,67,False
7,57,64,False
9,59,65,False
8,52,53,True
4,95,50,True
6,77,58,True
7,65,58,True
3,56,38,True
5,71,48,False
7,71,67,True
7,64,54,True
1,52,18,False
7,65,58,True
2,79,44,True
4,57,39,False
8,78,80,True
2,73,29,True
6,66,55,False
4,64,48,False
9,79,67,True
1,69,34,True
1,51,18,True
4,64,42,True
6,90,65,False
10,55,69,True
6,79,64,True
2,79,35,False
6,53,55,False
7,89,60,True
5,54,39,True
2,98,37,True
